CMDLINE /usr/local/opt/python/bin/python3.7 __main__.py
MEM 262.867188 1567887103.3704
MEM 271.265625 1567887103.4750
MEM 272.476562 1567887103.5796
MEM 275.351562 1567887103.6808
MEM 278.351562 1567887103.7817
MEM 279.429688 1567887103.8827
MEM 283.316406 1567887103.9871
MEM 282.125000 1567887104.0924
MEM 280.582031 1567887104.1942
MEM 281.136719 1567887104.2973
MEM 281.203125 1567887104.3975
MEM 281.289062 1567887104.4986
MEM 281.371094 1567887104.5989
MEM 281.464844 1567887104.7017
MEM 281.566406 1567887104.8046
MEM 281.660156 1567887104.9060
MEM 281.738281 1567887105.0063
MEM 281.835938 1567887105.1115
MEM 281.933594 1567887105.2157
MEM 282.027344 1567887105.3163
MEM 282.128906 1567887105.4186
MEM 282.207031 1567887105.5206
MEM 282.289062 1567887105.6254
MEM 282.386719 1567887105.7306
MEM 282.476562 1567887105.8318
MEM 282.562500 1567887105.9322
MEM 282.656250 1567887106.0325
MEM 282.734375 1567887106.1328
MEM 282.839844 1567887106.2347
MEM 282.929688 1567887106.3391
MEM 283.007812 1567887106.4443
MEM 283.093750 1567887106.5473
MEM 283.164062 1567887106.6489
MEM 283.238281 1567887106.7499
MEM 283.324219 1567887106.8507
MEM 283.398438 1567887106.9517
MEM 283.480469 1567887107.0522
MEM 283.539062 1567887107.1525
MEM 283.613281 1567887107.2564
MEM 283.687500 1567887107.3577
MEM 283.757812 1567887107.4608
MEM 283.843750 1567887107.5625
MEM 283.898438 1567887107.6651
MEM 283.972656 1567887107.7657
MEM 284.062500 1567887107.8660
MEM 284.140625 1567887107.9662
MEM 284.222656 1567887108.0686
MEM 284.304688 1567887108.1728
MEM 284.375000 1567887108.2754
MEM 284.441406 1567887108.3806
MEM 284.515625 1567887108.4825
MEM 284.582031 1567887108.5828
MEM 284.648438 1567887108.6868
MEM 284.726562 1567887108.7885
MEM 284.785156 1567887108.8892
MEM 284.867188 1567887108.9917
MEM 284.937500 1567887109.0966
MEM 285.000000 1567887109.1974
MEM 285.054688 1567887109.2981
MEM 285.109375 1567887109.4022
MEM 285.199219 1567887109.5060
MEM 285.285156 1567887109.6106
MEM 285.386719 1567887109.7146
MEM 285.441406 1567887109.8151
MEM 285.523438 1567887109.9157
MEM 285.601562 1567887110.0160
MEM 285.691406 1567887110.1167
MEM 285.750000 1567887110.2203
MEM 285.828125 1567887110.3254
MEM 285.933594 1567887110.4295
MEM 285.988281 1567887110.5322
MEM 286.082031 1567887110.6361
MEM 286.140625 1567887110.7383
MEM 286.226562 1567887110.8407
MEM 286.320312 1567887110.9423
MEM 286.406250 1567887111.0441
MEM 286.500000 1567887111.1487
MEM 286.574219 1567887111.2490
MEM 286.664062 1567887111.3493
MEM 286.730469 1567887111.4522
MEM 286.820312 1567887111.5530
MEM 286.839844 1567887111.6544
MEM 286.910156 1567887111.7596
MEM 286.992188 1567887111.8639
MEM 287.082031 1567887111.9640
MEM 287.187500 1567887112.0657
MEM 287.242188 1567887112.1661
MEM 287.335938 1567887112.2664
MEM 287.410156 1567887112.3709
MEM 287.496094 1567887112.4754
MEM 287.582031 1567887112.5806
MEM 287.632812 1567887112.6849
MEM 287.726562 1567887112.7853
MEM 287.804688 1567887112.8872
MEM 287.886719 1567887112.9878
MEM 287.992188 1567887113.0927
MEM 288.054688 1567887113.1972
MEM 288.148438 1567887113.2987
MEM 288.210938 1567887113.3990
MEM 288.304688 1567887113.4992
MEM 288.390625 1567887113.5995
MEM 288.457031 1567887113.7034
MEM 288.523438 1567887113.8060
MEM 288.605469 1567887113.9070
MEM 288.667969 1567887114.0113
MEM 288.765625 1567887114.1138
MEM 288.847656 1567887114.2140
MEM 288.921875 1567887114.3158
MEM 289.027344 1567887114.4192
MEM 289.089844 1567887114.5197
MEM 289.132812 1567887114.6207
MEM 289.207031 1567887114.7256
MEM 289.277344 1567887114.8300
MEM 289.351562 1567887114.9305
MEM 289.441406 1567887115.0307
MEM 289.523438 1567887115.1322
MEM 289.597656 1567887115.2325
MEM 289.660156 1567887115.3327
MEM 289.718750 1567887115.4359
MEM 289.785156 1567887115.5411
MEM 289.832031 1567887115.6420
MEM 289.894531 1567887115.7424
MEM 289.960938 1567887115.8453
MEM 290.039062 1567887115.9455
MEM 290.113281 1567887116.0472
MEM 290.171875 1567887116.1516
MEM 290.238281 1567887116.2559
MEM 290.273438 1567887116.3593
MEM 290.371094 1567887116.4638
MEM 290.437500 1567887116.5644
MEM 290.507812 1567887116.6650
MEM 290.585938 1567887116.7656
MEM 290.660156 1567887116.8659
MEM 290.730469 1567887116.9662
MEM 290.820312 1567887117.0714
MEM 290.886719 1567887117.1754
MEM 290.976562 1567887117.2771
MEM 291.054688 1567887117.3818
MEM 291.125000 1567887117.4859
MEM 291.214844 1567887117.5906
MEM 291.281250 1567887117.6934
MEM 291.371094 1567887117.7985
MEM 291.441406 1567887117.8988
MEM 291.523438 1567887118.0040
MEM 291.597656 1567887118.1047
MEM 291.683594 1567887118.2099
MEM 294.480469 1567887118.3138
MEM 295.886719 1567887118.4140
MEM 298.871094 1567887118.5155
MEM 300.281250 1567887118.6157
MEM 303.718750 1567887118.7200
MEM 305.992188 1567887118.8206
MEM 308.671875 1567887118.9254
MEM 309.402344 1567887119.0281
MEM 307.957031 1567887119.1291
MEM 307.007812 1567887119.2293
MEM 307.058594 1567887119.3305
MEM 307.144531 1567887119.4317
MEM 307.238281 1567887119.5319
MEM 307.335938 1567887119.6328
MEM 307.429688 1567887119.7333
MEM 307.523438 1567887119.8385
MEM 307.621094 1567887119.9438
MEM 307.714844 1567887120.0472
MEM 307.804688 1567887120.1489
MEM 307.902344 1567887120.2496
MEM 307.992188 1567887120.3538
MEM 308.078125 1567887120.4572
MEM 308.164062 1567887120.5584
MEM 308.273438 1567887120.6636
MEM 308.359375 1567887120.7659
MEM 308.449219 1567887120.8663
MEM 308.566406 1567887120.9702
MEM 308.656250 1567887121.0754
MEM 308.757812 1567887121.1784
MEM 308.847656 1567887121.2804
MEM 308.929688 1567887121.3810
MEM 309.003906 1567887121.4848
MEM 309.097656 1567887121.5888
MEM 309.171875 1567887121.6931
MEM 309.246094 1567887121.7965
MEM 309.339844 1567887121.8983
MEM 309.406250 1567887121.9988
MEM 309.476562 1567887122.0990
MEM 309.554688 1567887122.2029
MEM 309.632812 1567887122.3080
MEM 309.707031 1567887122.4103
MEM 309.785156 1567887122.5138
MEM 309.859375 1567887122.6143
MEM 309.949219 1567887122.7154
MEM 310.039062 1567887122.8186
MEM 310.117188 1567887122.9233
MEM 310.199219 1567887123.0265
MEM 310.265625 1567887123.1304
MEM 310.343750 1567887123.2351
MEM 310.410156 1567887123.3388
MEM 310.488281 1567887123.4435
MEM 310.558594 1567887123.5471
MEM 310.628906 1567887123.6488
MEM 310.718750 1567887123.7491
MEM 310.792969 1567887123.8543
MEM 310.863281 1567887123.9588
MEM 310.925781 1567887124.0637
MEM 310.980469 1567887124.1649
MEM 311.062500 1567887124.2655
MEM 311.144531 1567887124.3657
MEM 311.230469 1567887124.4660
MEM 311.320312 1567887124.5661
MEM 311.394531 1567887124.6713
MEM 311.492188 1567887124.7754
MEM 311.570312 1567887124.8803
MEM 311.632812 1567887124.9855
MEM 311.746094 1567887125.0904
MEM 311.820312 1567887125.1916
MEM 311.890625 1567887125.2965
MEM 311.996094 1567887125.4010
MEM 312.066406 1567887125.5035
MEM 312.425781 1567887125.6087
MEM 312.531250 1567887125.7136
MEM 312.609375 1567887125.8138
MEM 312.687500 1567887125.9148
MEM 312.773438 1567887126.0153
MEM 312.867188 1567887126.1160
MEM 312.945312 1567887126.2212
MEM 313.031250 1567887126.3254
MEM 313.128906 1567887126.4258
MEM 313.191406 1567887126.5303
MEM 313.296875 1567887126.6315
MEM 313.375000 1567887126.7367
MEM 313.457031 1567887126.8379
MEM 313.550781 1567887126.9390
MEM 313.613281 1567887127.0408
MEM 313.710938 1567887127.1458
MEM 313.773438 1567887127.2489
MEM 313.890625 1567887127.3521
MEM 313.972656 1567887127.4572
MEM 314.046875 1567887127.5603
MEM 314.152344 1567887127.6647
MEM 314.214844 1567887127.7681
MEM 314.312500 1567887127.8733
MEM 314.378906 1567887127.9772
MEM 314.476562 1567887128.0803
MEM 314.562500 1567887128.1809
MEM 314.648438 1567887128.2812
MEM 314.699219 1567887128.3815
MEM 314.785156 1567887128.4816
MEM 314.855469 1567887128.5859
MEM 314.964844 1567887128.6903
MEM 315.039062 1567887128.7955
MEM 315.121094 1567887128.8970
MEM 315.207031 1567887129.0019
MEM 315.261719 1567887129.1068
MEM 315.328125 1567887129.2093
MEM 315.410156 1567887129.3119
MEM 315.484375 1567887129.4136
MEM 315.582031 1567887129.5137
MEM 315.648438 1567887129.6140
MEM 315.742188 1567887129.7170
MEM 315.800781 1567887129.8172
MEM 315.863281 1567887129.9223
MEM 315.917969 1567887130.0254
MEM 315.992188 1567887130.1303
MEM 316.058594 1567887130.2305
MEM 316.128906 1567887130.3316
MEM 316.203125 1567887130.4326
MEM 316.269531 1567887130.5337
MEM 316.335938 1567887130.6379
MEM 315.875000 1567887130.7386
MEM 315.886719 1567887130.8394
MEM 315.816406 1567887130.9403
MEM 315.890625 1567887131.0432
MEM 315.972656 1567887131.1445
MEM 316.050781 1567887131.2488
MEM 316.125000 1567887131.3520
MEM 316.207031 1567887131.4572
MEM 316.289062 1567887131.5603
MEM 316.359375 1567887131.6636
MEM 316.449219 1567887131.7637
MEM 316.515625 1567887131.8653
MEM 316.589844 1567887131.9656
MEM 316.683594 1567887132.0661
MEM 316.750000 1567887132.1702
MEM 316.828125 1567887132.2737
MEM 316.910156 1567887132.3787
MEM 316.996094 1567887132.4802
MEM 317.062500 1567887132.5818
MEM 317.148438 1567887132.6868
MEM 317.675781 1567887132.7920
MEM 326.250000 1567887132.8960
MEM 322.523438 1567887132.9969
MEM 329.363281 1567887133.1013
MEM 329.406250 1567887133.2030
MEM 332.007812 1567887133.3082
MEM 334.296875 1567887133.4113
MEM 333.613281 1567887133.5135
MEM 333.316406 1567887133.6153
MEM 332.558594 1567887133.7159
MEM 333.300781 1567887133.8191
MEM 333.355469 1567887133.9243
MEM 333.445312 1567887134.0295
MEM 333.527344 1567887134.1302
MEM 333.640625 1567887134.2322
MEM 333.730469 1567887134.3325
MEM 333.824219 1567887134.4345
MEM 333.917969 1567887134.5389
MEM 334.003906 1567887134.6391
MEM 334.105469 1567887134.7415
MEM 334.199219 1567887134.8418
MEM 334.289062 1567887134.9468
MEM 334.382812 1567887135.0486
MEM 334.468750 1567887135.1488
MEM 334.550781 1567887135.2491
MEM 334.644531 1567887135.3543
MEM 334.738281 1567887135.4555
MEM 334.843750 1567887135.5582
MEM 334.933594 1567887135.6584
MEM 335.042969 1567887135.7631
MEM 335.128906 1567887135.8635
MEM 335.203125 1567887135.9637
MEM 335.292969 1567887136.0674
MEM 335.371094 1567887136.1680
MEM 335.453125 1567887136.2683
MEM 335.535156 1567887136.3724
MEM 335.617188 1567887136.4766
MEM 335.703125 1567887136.5800
MEM 335.757812 1567887136.6813
MEM 335.847656 1567887136.7821
MEM 335.910156 1567887136.8836
MEM 336.003906 1567887136.9888
MEM 336.074219 1567887137.0890
MEM 336.152344 1567887137.1942
MEM 336.242188 1567887137.2979
MEM 336.324219 1567887137.3986
MEM 336.402344 1567887137.5016
MEM 336.488281 1567887137.6062
MEM 336.566406 1567887137.7080
MEM 336.644531 1567887137.8132
MEM 336.710938 1567887137.9134
MEM 336.777344 1567887138.0143
MEM 336.851562 1567887138.1153
MEM 336.917969 1567887138.2200
MEM 337.000000 1567887138.3252
MEM 337.085938 1567887138.4292
MEM 337.164062 1567887138.5323
MEM 337.222656 1567887138.6338
MEM 337.277344 1567887138.7390
MEM 337.339844 1567887138.8400
MEM 337.441406 1567887138.9451
MEM 337.539062 1567887139.0469
MEM 337.621094 1567887139.1487
MEM 337.714844 1567887139.2491
MEM 337.777344 1567887139.3493
MEM 337.875000 1567887139.4495
MEM 337.945312 1567887139.5542
MEM 338.023438 1567887139.6546
MEM 338.132812 1567887139.7568
MEM 338.191406 1567887139.8592
MEM 338.300781 1567887139.9614
MEM 338.363281 1567887140.0644
MEM 338.441406 1567887140.1647
MEM 338.535156 1567887140.2654
MEM 338.613281 1567887140.3656
MEM 338.703125 1567887140.4705
MEM 338.792969 1567887140.5736
MEM 338.886719 1567887140.6784
MEM 338.980469 1567887140.7813
MEM 339.058594 1567887140.8815
MEM 339.144531 1567887140.9818
MEM 339.199219 1567887141.0822
MEM 339.316406 1567887141.1874
MEM 339.394531 1567887141.2901
MEM 339.460938 1567887141.3908
MEM 339.566406 1567887141.4935
MEM 339.640625 1567887141.5967
MEM 339.734375 1567887141.7002
MEM 339.820312 1567887141.8035
MEM 339.914062 1567887141.9073
MEM 339.996094 1567887142.0125
MEM 340.062500 1567887142.1148
MEM 340.175781 1567887142.2169
MEM 340.246094 1567887142.3204
MEM 340.343750 1567887142.4253
MEM 340.421875 1567887142.5286
MEM 340.484375 1567887142.6300
MEM 340.578125 1567887142.7321
MEM 340.656250 1567887142.8324
MEM 340.730469 1567887142.9376
MEM 340.800781 1567887143.0400
MEM 340.878906 1567887143.1418
MEM 340.957031 1567887143.2468
MEM 341.054688 1567887143.3482
MEM 341.128906 1567887143.4517
MEM 341.242188 1567887143.5555
MEM 341.300781 1567887143.6598
MEM 341.367188 1567887143.7633
MEM 341.453125 1567887143.8645
MEM 341.515625 1567887143.9648
MEM 341.621094 1567887144.0669
MEM 341.687500 1567887144.1721
MEM 341.789062 1567887144.2753
MEM 341.859375 1567887144.3800
MEM 341.910156 1567887144.4811
MEM 341.972656 1567887144.5817
MEM 342.042969 1567887144.6869
MEM 342.121094 1567887144.7910
MEM 342.191406 1567887144.8951
MEM 342.257812 1567887144.9968
MEM 342.328125 1567887145.1020
MEM 342.425781 1567887145.2072
MEM 342.480469 1567887145.3079
MEM 342.535156 1567887145.4131
MEM 342.621094 1567887145.5133
MEM 342.695312 1567887145.6135
MEM 342.769531 1567887145.7145
MEM 342.855469 1567887145.8151
MEM 342.925781 1567887145.9153
MEM 343.007812 1567887146.0155
MEM 343.085938 1567887146.1157
MEM 343.167969 1567887146.2159
MEM 343.238281 1567887146.3211
MEM 343.328125 1567887146.4253
MEM 343.406250 1567887146.5269
MEM 343.484375 1567887146.6305
MEM 343.566406 1567887146.7314
MEM 343.648438 1567887146.8366
MEM 343.722656 1567887146.9400
MEM 343.808594 1567887147.0452
MEM 343.882812 1567887147.1465
MEM 344.027344 1567887147.2485
MEM 347.394531 1567887147.3490
MEM 347.546875 1567887147.4543
MEM 349.179688 1567887147.5595
MEM 352.437500 1567887147.6652
MEM 356.839844 1567887147.7657
MEM 359.933594 1567887147.8709
MEM 361.562500 1567887147.9743
MEM 366.238281 1567887148.0795
MEM 367.000000 1567887148.1813
MEM 362.382812 1567887148.2818
MEM 364.242188 1567887148.3870
MEM 364.242188 1567887148.4922
MEM 364.304688 1567887148.5976
MEM 364.382812 1567887148.6978
MEM 364.472656 1567887148.7984
MEM 364.574219 1567887148.8985
MEM 364.671875 1567887149.0004
MEM 364.761719 1567887149.1056
MEM 364.859375 1567887149.2066
MEM 364.953125 1567887149.3082
MEM 365.054688 1567887149.4134
MEM 365.140625 1567887149.5182
MEM 365.250000 1567887149.6199
MEM 365.332031 1567887149.7251
MEM 365.406250 1567887149.8253
MEM 365.503906 1567887149.9280
MEM 365.601562 1567887150.0299
MEM 365.691406 1567887150.1301
MEM 365.800781 1567887150.2311
MEM 365.890625 1567887150.3317
MEM 365.988281 1567887150.4339
MEM 366.074219 1567887150.5349
MEM 366.156250 1567887150.6388
MEM 366.234375 1567887150.7440
MEM 366.320312 1567887150.8445
MEM 366.402344 1567887150.9479
MEM 366.472656 1567887151.0483
MEM 366.570312 1567887151.1486
MEM 366.640625 1567887151.2490
MEM 366.695312 1567887151.3519
MEM 366.785156 1567887151.4550
MEM 366.859375 1567887151.5602
MEM 366.941406 1567887151.6623
MEM 367.007812 1567887151.7668
MEM 367.093750 1567887151.8719
MEM 367.175781 1567887151.9743
MEM 367.269531 1567887152.0795
MEM 367.355469 1567887152.1841
MEM 367.441406 1567887152.2892
MEM 367.507812 1567887152.3920
MEM 367.589844 1567887152.4965
MEM 367.664062 1567887152.5982
MEM 367.726562 1567887152.6986
MEM 367.800781 1567887152.7990
