,cells_1,cells_50,cells_80,cells_100,cells_150,cells_200
0,0.8185581166449839,0.6462228452182424,0.6588221242723539,0.6530750018483644,0.6387823661894497,0.638782367608608
1,0.8108200226841311,0.7570294857751229,0.6525652028991534,0.6548607189723952,0.6339350180240433,0.6411633185704021
2,0.8204431072686069,0.7438488142814483,0.652770461427545,0.6491990342752746,0.6202514632067676,0.6340204642658614
3,0.8326385708412327,0.6598209510263414,0.6545561785515757,0.6436571547689364,0.6355154794579989,0.636791393375344
4,0.8240145372591937,0.7378895091175505,0.6549461538609477,0.6364014166468138,0.6624859176204846,0.6222216648054809
5,0.8240145372591937,0.6509847499801471,0.6752835366681037,0.6400857261975078,0.6334252261706234,0.6195500119117936
6,0.6678569049451702,0.6657528058420517,0.6614083351816978,0.6435442723705127,0.6425385228951245,0.6361961552801058
7,0.6627050149397861,0.661110717553237,0.6551514138084974,0.6497942709513546,0.6517716333253571,0.6425385228951245
8,0.8310650367211397,0.6590273828007455,0.6346156995227831,0.6364014152276556,0.6249071576072528,0.639887397557266
9,0.6558528551363602,0.6760771048936998,0.651579986656227,0.656235920458801,0.631639511884909,0.631044273789671
