accuracy,alpha,beta,period
0.5238095238095238,0.1,0.1,1.0
0.42857142857142855,0.1,0.2,1.0
0.47619047619047616,0.1,0.3,1.0
0.47619047619047616,0.1,0.5,1.0
0.42857142857142855,0.1,0.6,1.0
0.42857142857142855,0.1,0.7,1.0
0.42857142857142855,0.1,0.8,1.0
0.42857142857142855,0.1,0.9,1.0
0.5238095238095238,0.2,0.1,1.0
0.42857142857142855,0.2,0.2,1.0
0.42857142857142855,0.2,0.3,1.0
0.42857142857142855,0.2,0.5,1.0
0.42857142857142855,0.2,0.6,1.0
0.42857142857142855,0.2,0.7,1.0
0.42857142857142855,0.2,0.8,1.0
0.38095238095238093,0.2,0.9,1.0
0.47619047619047616,0.3,0.1,1.0
0.38095238095238093,0.3,0.2,1.0
0.3333333333333333,0.3,0.3,1.0
0.42857142857142855,0.3,0.5,1.0
0.42857142857142855,0.3,0.6,1.0
0.42857142857142855,0.3,0.7,1.0
0.38095238095238093,0.3,0.8,1.0
0.38095238095238093,0.3,0.9,1.0
0.5238095238095238,0.5,0.1,1.0
0.42857142857142855,0.5,0.2,1.0
0.42857142857142855,0.5,0.3,1.0
0.47619047619047616,0.5,0.5,1.0
0.47619047619047616,0.5,0.6,1.0
0.47619047619047616,0.5,0.7,1.0
0.47619047619047616,0.5,0.8,1.0
0.47619047619047616,0.5,0.9,1.0
0.5714285714285714,0.6,0.1,1.0
0.47619047619047616,0.6,0.2,1.0
0.47619047619047616,0.6,0.3,1.0
0.47619047619047616,0.6,0.5,1.0
0.47619047619047616,0.6,0.6,1.0
0.47619047619047616,0.6,0.7,1.0
0.47619047619047616,0.6,0.8,1.0
0.5238095238095238,0.6,0.9,1.0
0.5714285714285714,0.7,0.1,1.0
0.5238095238095238,0.7,0.2,1.0
0.5238095238095238,0.7,0.3,1.0
0.5238095238095238,0.7,0.5,1.0
0.5238095238095238,0.7,0.6,1.0
0.5238095238095238,0.7,0.7,1.0
0.6190476190476191,0.7,0.8,1.0
0.6190476190476191,0.7,0.9,1.0
0.5714285714285714,0.8,0.1,1.0
0.5238095238095238,0.8,0.2,1.0
0.5238095238095238,0.8,0.3,1.0
0.5238095238095238,0.8,0.5,1.0
0.5714285714285714,0.8,0.6,1.0
0.5714285714285714,0.8,0.7,1.0
0.5714285714285714,0.8,0.8,1.0
0.6190476190476191,0.8,0.9,1.0
0.5714285714285714,0.9,0.1,1.0
0.5238095238095238,0.9,0.2,1.0
0.5238095238095238,0.9,0.3,1.0
0.5714285714285714,0.9,0.5,1.0
0.6190476190476191,0.9,0.6,1.0
0.6190476190476191,0.9,0.7,1.0
0.5714285714285714,0.9,0.8,1.0
0.6190476190476191,0.9,0.9,1.0
0.358974358974359,0.1,0.1,2.0
0.3333333333333333,0.1,0.2,2.0
0.358974358974359,0.1,0.3,2.0
