accuracy,alpha,beta,period
0.5714285714285714,0.1,0.1,1.0
0.6190476190476191,0.1,0.2,1.0
0.6190476190476191,0.1,0.3,1.0
0.6190476190476191,0.1,0.5,1.0
0.6190476190476191,0.1,0.6,1.0
0.5238095238095238,0.1,0.7,1.0
0.5238095238095238,0.1,0.8,1.0
0.5238095238095238,0.1,0.9,1.0
0.5238095238095238,0.2,0.1,1.0
0.5238095238095238,0.2,0.2,1.0
0.6190476190476191,0.2,0.3,1.0
0.5238095238095238,0.2,0.5,1.0
0.5238095238095238,0.2,0.6,1.0
0.42857142857142855,0.2,0.7,1.0
0.42857142857142855,0.2,0.8,1.0
0.47619047619047616,0.2,0.9,1.0
0.47619047619047616,0.3,0.1,1.0
0.47619047619047616,0.3,0.2,1.0
0.47619047619047616,0.3,0.3,1.0
0.5238095238095238,0.3,0.5,1.0
0.5238095238095238,0.3,0.6,1.0
0.5238095238095238,0.3,0.7,1.0
0.5238095238095238,0.3,0.8,1.0
0.5238095238095238,0.3,0.9,1.0
0.47619047619047616,0.5,0.1,1.0
0.47619047619047616,0.5,0.2,1.0
0.47619047619047616,0.5,0.3,1.0
0.42857142857142855,0.5,0.5,1.0
0.47619047619047616,0.5,0.6,1.0
0.47619047619047616,0.5,0.7,1.0
0.42857142857142855,0.5,0.8,1.0
0.42857142857142855,0.5,0.9,1.0
0.42857142857142855,0.6,0.1,1.0
0.42857142857142855,0.6,0.2,1.0
0.42857142857142855,0.6,0.3,1.0
0.42857142857142855,0.6,0.5,1.0
0.47619047619047616,0.6,0.6,1.0
0.47619047619047616,0.6,0.7,1.0
0.47619047619047616,0.6,0.8,1.0
0.42857142857142855,0.6,0.9,1.0
0.42857142857142855,0.7,0.1,1.0
0.42857142857142855,0.7,0.2,1.0
0.42857142857142855,0.7,0.3,1.0
0.47619047619047616,0.7,0.5,1.0
0.42857142857142855,0.7,0.6,1.0
0.42857142857142855,0.7,0.7,1.0
0.47619047619047616,0.7,0.8,1.0
0.47619047619047616,0.7,0.9,1.0
0.42857142857142855,0.8,0.1,1.0
0.47619047619047616,0.8,0.2,1.0
0.47619047619047616,0.8,0.3,1.0
0.47619047619047616,0.8,0.5,1.0
0.47619047619047616,0.8,0.6,1.0
0.47619047619047616,0.8,0.7,1.0
0.47619047619047616,0.8,0.8,1.0
0.42857142857142855,0.8,0.9,1.0
0.5238095238095238,0.9,0.1,1.0
0.47619047619047616,0.9,0.2,1.0
0.47619047619047616,0.9,0.3,1.0
0.42857142857142855,0.9,0.5,1.0
0.42857142857142855,0.9,0.6,1.0
0.38095238095238093,0.9,0.7,1.0
0.38095238095238093,0.9,0.8,1.0
0.38095238095238093,0.9,0.9,1.0
0.5121951219512195,0.1,0.1,2.0
0.4634146341463415,0.1,0.2,2.0
0.4634146341463415,0.1,0.3,2.0
0.5121951219512195,0.1,0.5,2.0
0.4878048780487805,0.1,0.6,2.0
0.43902439024390244,0.1,0.7,2.0
0.43902439024390244,0.1,0.8,2.0
0.4634146341463415,0.1,0.9,2.0
0.43902439024390244,0.2,0.1,2.0
0.4634146341463415,0.2,0.2,2.0
0.5121951219512195,0.2,0.3,2.0
0.4878048780487805,0.2,0.5,2.0
0.5121951219512195,0.2,0.6,2.0
0.4634146341463415,0.2,0.7,2.0
0.43902439024390244,0.2,0.8,2.0
0.4878048780487805,0.2,0.9,2.0
0.43902439024390244,0.3,0.1,2.0
0.4634146341463415,0.3,0.2,2.0
0.4634146341463415,0.3,0.3,2.0
0.4878048780487805,0.3,0.5,2.0
0.5121951219512195,0.3,0.6,2.0
0.4878048780487805,0.3,0.7,2.0
0.5121951219512195,0.3,0.8,2.0
0.4878048780487805,0.3,0.9,2.0
0.4878048780487805,0.5,0.1,2.0
0.4634146341463415,0.5,0.2,2.0
0.4634146341463415,0.5,0.3,2.0
0.43902439024390244,0.5,0.5,2.0
0.4878048780487805,0.5,0.6,2.0
0.4878048780487805,0.5,0.7,2.0
0.43902439024390244,0.5,0.8,2.0
0.43902439024390244,0.5,0.9,2.0
0.43902439024390244,0.6,0.1,2.0
0.43902439024390244,0.6,0.2,2.0
0.43902439024390244,0.6,0.3,2.0
0.43902439024390244,0.6,0.5,2.0
0.4634146341463415,0.6,0.6,2.0
0.4634146341463415,0.6,0.7,2.0
0.4634146341463415,0.6,0.8,2.0
0.4634146341463415,0.6,0.9,2.0
0.4146341463414634,0.7,0.1,2.0
0.4146341463414634,0.7,0.2,2.0
0.4146341463414634,0.7,0.3,2.0
0.43902439024390244,0.7,0.5,2.0
0.4146341463414634,0.7,0.6,2.0
0.43902439024390244,0.7,0.7,2.0
0.4634146341463415,0.7,0.8,2.0
0.4634146341463415,0.7,0.9,2.0
0.3902439024390244,0.8,0.1,2.0
0.4146341463414634,0.8,0.2,2.0
0.4146341463414634,0.8,0.3,2.0
0.4634146341463415,0.8,0.5,2.0
0.4634146341463415,0.8,0.6,2.0
0.4634146341463415,0.8,0.7,2.0
0.4634146341463415,0.8,0.8,2.0
0.43902439024390244,0.8,0.9,2.0
0.43902439024390244,0.9,0.1,2.0
0.4146341463414634,0.9,0.2,2.0
0.43902439024390244,0.9,0.3,2.0
0.4146341463414634,0.9,0.5,2.0
0.4146341463414634,0.9,0.6,2.0
0.36585365853658536,0.9,0.7,2.0
0.36585365853658536,0.9,0.8,2.0
0.34146341463414637,0.9,0.9,2.0
0.5573770491803278,0.1,0.1,3.0
0.5245901639344263,0.1,0.2,3.0
0.5245901639344263,0.1,0.3,3.0
0.5737704918032787,0.1,0.5,3.0
0.5573770491803278,0.1,0.6,3.0
0.5245901639344263,0.1,0.7,3.0
0.5409836065573771,0.1,0.8,3.0
0.5573770491803278,0.1,0.9,3.0
0.5245901639344263,0.2,0.1,3.0
0.5409836065573771,0.2,0.2,3.0
0.5737704918032787,0.2,0.3,3.0
0.5737704918032787,0.2,0.5,3.0
0.5901639344262295,0.2,0.6,3.0
0.5409836065573771,0.2,0.7,3.0
0.5245901639344263,0.2,0.8,3.0
0.5737704918032787,0.2,0.9,3.0
0.5409836065573771,0.3,0.1,3.0
0.5573770491803278,0.3,0.2,3.0
0.5573770491803278,0.3,0.3,3.0
