accuracy,alpha,beta,period
0.5789473684210527,0.1,0.1,1.0
0.7368421052631579,0.1,0.2,1.0
0.6842105263157895,0.1,0.3,1.0
0.7368421052631579,0.1,0.5,1.0
0.6842105263157895,0.1,0.6,1.0
0.6842105263157895,0.1,0.7,1.0
0.6842105263157895,0.1,0.8,1.0
0.6842105263157895,0.1,0.9,1.0
0.5789473684210527,0.2,0.1,1.0
0.5789473684210527,0.2,0.2,1.0
0.6842105263157895,0.2,0.3,1.0
0.631578947368421,0.2,0.5,1.0
0.6842105263157895,0.2,0.6,1.0
0.631578947368421,0.2,0.7,1.0
0.631578947368421,0.2,0.8,1.0
0.631578947368421,0.2,0.9,1.0
0.631578947368421,0.3,0.1,1.0
0.631578947368421,0.3,0.2,1.0
0.631578947368421,0.3,0.3,1.0
0.631578947368421,0.3,0.5,1.0
0.631578947368421,0.3,0.6,1.0
0.5789473684210527,0.3,0.7,1.0
0.5789473684210527,0.3,0.8,1.0
0.5789473684210527,0.3,0.9,1.0
0.47368421052631576,0.5,0.1,1.0
0.5263157894736842,0.5,0.2,1.0
0.5263157894736842,0.5,0.3,1.0
0.5263157894736842,0.5,0.5,1.0
0.5263157894736842,0.5,0.6,1.0
0.5263157894736842,0.5,0.7,1.0
0.5263157894736842,0.5,0.8,1.0
0.5263157894736842,0.5,0.9,1.0
0.47368421052631576,0.6,0.1,1.0
0.5263157894736842,0.6,0.2,1.0
0.5263157894736842,0.6,0.3,1.0
0.5263157894736842,0.6,0.5,1.0
0.5263157894736842,0.6,0.6,1.0
0.5263157894736842,0.6,0.7,1.0
0.47368421052631576,0.6,0.8,1.0
0.47368421052631576,0.6,0.9,1.0
0.5263157894736842,0.7,0.1,1.0
0.5263157894736842,0.7,0.2,1.0
0.5263157894736842,0.7,0.3,1.0
0.47368421052631576,0.7,0.5,1.0
0.47368421052631576,0.7,0.6,1.0
0.47368421052631576,0.7,0.7,1.0
0.47368421052631576,0.7,0.8,1.0
0.47368421052631576,0.7,0.9,1.0
0.5263157894736842,0.8,0.1,1.0
0.5263157894736842,0.8,0.2,1.0
0.47368421052631576,0.8,0.3,1.0
0.47368421052631576,0.8,0.5,1.0
0.47368421052631576,0.8,0.6,1.0
0.47368421052631576,0.8,0.7,1.0
0.5263157894736842,0.8,0.8,1.0
0.5263157894736842,0.8,0.9,1.0
0.5263157894736842,0.9,0.1,1.0
0.5263157894736842,0.9,0.2,1.0
0.5263157894736842,0.9,0.3,1.0
0.47368421052631576,0.9,0.5,1.0
0.47368421052631576,0.9,0.6,1.0
0.47368421052631576,0.9,0.7,1.0
0.47368421052631576,0.9,0.8,1.0
0.42105263157894735,0.9,0.9,1.0
0.47368421052631576,0.1,0.1,2.0
0.5263157894736842,0.1,0.2,2.0
0.5263157894736842,0.1,0.3,2.0
0.5789473684210527,0.1,0.5,2.0
0.5,0.1,0.6,2.0
0.5263157894736842,0.1,0.7,2.0
0.5263157894736842,0.1,0.8,2.0
