,cells_1,cells_50,cells_80,cells_100,cells_150,cells_200
0,0.813706471674466,0.8304585732296851,0.8230250209866964,0.8172779014010234,0.823825517610326,0.8205517109248329
1,0.8155914650142918,0.8289773979456321,0.8202540918772138,0.8230250209866964,0.8157828836345988,0.8372183761723413
2,0.806549771785208,0.8254059733676488,0.8230250198315675,0.814896949020071,0.8172779014010234,0.8131112333151985
3,0.8158960054351113,0.8262919065630184,0.8107302811982754,0.8166826621506565,0.8047779002458947,0.8029921859601803
4,0.8074633930476663,0.8194535884218226,0.8411867030765262,0.8220398050077993,0.8119207573887518,0.8148969478649422
5,0.8134157740000475,0.8289773979456321,0.8166826621506565,0.8157828836345988,0.8187590752659181,0.8178731394962614
6,0.8119207573887518,0.8221252424706388,0.8051678781295535,0.8172779002458945,0.8178731394962614,0.8032828847897276
7,0.8278007687260277,0.8322581330671132,0.8081440674506152,0.8202540907220851,0.8256112347343567,0.8253136156867377
8,0.7947304461881567,0.8239109567563533,0.8280776194295746,0.8196588526268469,0.8059683775914995,0.8342421845410221
9,0.804281941204768,0.8206440674506151,0.8143017109248328,0.8226350431030375,0.8196588526268469,0.8196588537819758
