accuracy,indicator
49.37%,macd
40.00%,momentum
51.25%,moving_avg
63.75%,moving_var
63.29%,mso
50.63%,mv_ratio
67.50%,rate_of_change
53.85%,sso
70.00%,stochastic_oscilator
52.50%,price
