index,batch_size,cells,look_back,loss,optimizers,status
119,[1],[1],[3],-0.7602978348731995,[2],ok
120,[5],[1],[2],-0.5029239654541016,[2],ok
121,[1],[0],[1],-0.1458333283662796,[1],ok
122,[3],[3],[3],-0.0,[0],ok
123,[1],[1],[3],-0.7809523940086365,[2],ok
124,[0],[5],[4],-0.26719576120376587,[2],ok
125,[1],[4],[0],-0.20202021300792694,[2],ok
126,[4],[2],[3],-0.6787988543510437,[2],ok
127,[2],[1],[3],-0.6646258234977722,[1],ok
128,[1],[1],[3],-0.22027289867401123,[0],ok
129,[5],[1],[1],-0.166666641831398,[2],ok
130,[1],[3],[2],-0.6654456257820129,[2],ok
131,[3],[0],[3],-0.18518517911434174,[2],ok
132,[1],[1],[4],-0.2495495229959488,[2],ok
133,[1],[2],[0],-0.20202021300792694,[1],ok
134,[0],[5],[3],-0.6449275016784668,[2],ok
135,[4],[4],[3],-0.0,[0],ok
136,[2],[1],[3],-0.6874327659606934,[2],ok
137,[1],[1],[2],-0.6406837105751038,[2],ok
138,[5],[1],[1],-0.166666641831398,[2],ok
139,[1],[0],[3],-0.18518517911434174,[1],ok
140,[3],[3],[4],-0.18518517911434174,[2],ok
141,[1],[1],[3],-0.37719297409057617,[0],ok
142,[1],[5],[0],-0.20202021300792694,[2],ok
143,[0],[4],[3],-0.5931217074394226,[2],ok
144,[4],[1],[3],-0.6874327659606934,[2],ok
145,[1],[1],[3],-0.7686163783073425,[2],ok
146,[1],[1],[3],-0.7602978348731995,[2],ok
147,[1],[1],[3],-0.7686163783073425,[2],ok
148,[1],[1],[3],-0.7602978348731995,[2],ok
149,[1],[1],[3],-0.7602978348731995,[2],ok
150,[1],[1],[3],-0.7602978348731995,[2],ok
151,[1],[1],[3],-0.7686163783073425,[2],ok
152,[1],[1],[3],-0.762896716594696,[2],ok
153,[1],[1],[3],-0.8237898945808411,[2],ok
154,[1],[1],[3],-0.8193361759185791,[2],ok
155,[1],[2],[3],-0.7665732502937317,[2],ok
156,[2],[1],[2],-0.4197249412536621,[2],ok
157,[1],[1],[3],-0.7686163783073425,[2],ok
158,[5],[1],[1],-0.166666641831398,[2],ok
159,[1],[3],[3],-0.660620391368866,[2],ok
160,[3],[0],[4],-0.2222222089767456,[1],ok
161,[1],[1],[0],-0.21568626165390015,[0],ok
162,[0],[5],[3],-0.6200688481330872,[2],ok
163,[1],[1],[3],-0.7686163783073425,[2],ok
164,[4],[4],[3],-0.6838224530220032,[2],ok
165,[1],[2],[2],-0.6717948913574219,[2],ok
166,[2],[1],[1],-0.16161614656448364,[1],ok
167,[1],[1],[3],-0.8237898945808411,[2],ok
