,PETR3,ABEV3,VALE3
2014-2015-0,0.4556961953639984,0.4958333373069763,0.44999998807907104
2014-2015-1,0.7721518874168396,0.7666666507720947,0.6625000238418579
2015-2016-0,0.550000011920929,0.5185185074806213,0.5061728358268738
2015-2016-1,0.6708333492279053,0.7119341492652893,0.7407407164573669
2016-2017-0,0.5358649492263794,0.5874999761581421,0.5458333492279053
2016-2017-1,0.7721518874168396,0.8083333373069763,0.7958333492279053
2017-2018-0,0.5190476179122925,0.47417840361595154,0.48826292157173157
2017-2018-1,0.8142856955528259,0.6431924700737,0.7887324094772339
