,PETR3,ABEV3,VALE3
2014-2015-0,0.5882353186607361,0.5,0.6111111044883728
2014-2015-1,0.6666666865348816,0.7777777910232544,0.7962962985038757
2015-2016-0,0.4399999976158142,0.49056604504585266,0.5283018946647644
2015-2016-1,0.5400000214576721,0.5660377144813538,0.6792452931404114
2016-2017-0,0.4615384638309479,0.5454545617103577,0.4727272689342499
2016-2017-1,0.7115384340286255,0.7636363506317139,0.8181818127632141
2017-2018-0,0.5490196347236633,0.5740740895271301,0.5
2017-2018-1,0.7058823704719543,0.6666666865348816,0.5925925970077515
