,PETR3,ABEV3,VALE3
2014-2015-0,0.5398229956626892,0.5,0.517241358757019
2014-2015-1,0.752212405204773,0.75,0.6293103694915771
2015-2016-0,0.5263158082962036,0.5470085740089417,0.5128205418586731
2015-2016-1,0.6666666865348816,0.752136766910553,0.7094017267227173
2016-2017-0,0.5350877046585083,0.5299145579338074,0.5128205418586731
2016-2017-1,0.7631579041481018,0.7435897588729858,0.7606837749481201
2017-2018-0,0.6052631735801697,0.47863247990608215,0.5213675498962402
2017-2018-1,0.7719298005104065,0.7692307829856873,0.7435897588729858
