accuracy,alpha,beta,period
0.47619047619047616,0.1,0.1,1.0
0.7142857142857143,0.1,0.2,1.0
0.7142857142857143,0.1,0.3,1.0
0.6190476190476191,0.1,0.5,1.0
0.5714285714285714,0.1,0.6,1.0
0.5714285714285714,0.1,0.7,1.0
0.5714285714285714,0.1,0.8,1.0
0.38095238095238093,0.1,0.9,1.0
0.38095238095238093,0.2,0.1,1.0
0.47619047619047616,0.2,0.2,1.0
0.5714285714285714,0.2,0.3,1.0
0.6190476190476191,0.2,0.5,1.0
0.5714285714285714,0.2,0.6,1.0
0.38095238095238093,0.2,0.7,1.0
0.47619047619047616,0.2,0.8,1.0
0.47619047619047616,0.2,0.9,1.0
0.5238095238095238,0.3,0.1,1.0
0.5238095238095238,0.3,0.2,1.0
0.5238095238095238,0.3,0.3,1.0
0.5238095238095238,0.3,0.5,1.0
0.5238095238095238,0.3,0.6,1.0
0.6190476190476191,0.3,0.7,1.0
0.6190476190476191,0.3,0.8,1.0
0.5714285714285714,0.3,0.9,1.0
0.5714285714285714,0.5,0.1,1.0
0.6190476190476191,0.5,0.2,1.0
0.5714285714285714,0.5,0.3,1.0
0.5714285714285714,0.5,0.5,1.0
0.5714285714285714,0.5,0.6,1.0
0.6666666666666666,0.5,0.7,1.0
0.6666666666666666,0.5,0.8,1.0
0.6190476190476191,0.5,0.9,1.0
0.5714285714285714,0.6,0.1,1.0
0.5714285714285714,0.6,0.2,1.0
0.6190476190476191,0.6,0.3,1.0
0.6190476190476191,0.6,0.5,1.0
0.6190476190476191,0.6,0.6,1.0
0.5238095238095238,0.6,0.7,1.0
0.5238095238095238,0.6,0.8,1.0
0.5238095238095238,0.6,0.9,1.0
0.5714285714285714,0.7,0.1,1.0
0.5714285714285714,0.7,0.2,1.0
0.5714285714285714,0.7,0.3,1.0
0.5714285714285714,0.7,0.5,1.0
0.5714285714285714,0.7,0.6,1.0
0.5714285714285714,0.7,0.7,1.0
0.47619047619047616,0.7,0.8,1.0
0.47619047619047616,0.7,0.9,1.0
0.47619047619047616,0.8,0.1,1.0
0.5238095238095238,0.8,0.2,1.0
